NINT;poids;DATE_CONTACT;mois;jour;quest_debut;quest_fin;SEXE;AG99;AGE_REP;ANNEE_REP;eqtv;Recept_ADSL;Recept_Para;Recept_elargie;Recept_tradi;abcp;abon_adsl;abon_elargie;habtv1;habtv2;habtv3;habtv4;habtv5;habtv6;habtv7;habtv8;habtv9;habtv10;init1;init2;init3;init4;init5;init6;init7;init8;init9;init10
140;0,66;05/04/2014;4;5;16:09:21;16:27:54;2;40;4;1974;1;0;1;1;0;1;2;1;1;2;3;2;4;2;4;4;3;4;1;1;1;1;1;1;1;1;1;1
141;3,87;05/04/2014;4;5;16:17:01;16:41:07;1;44;4;1970;1;0;0;1;0;2;1;1;1;1;2;2;4;1;5;5;3;1;1;1;2;1;2;1;2;2;1;1
142;4,32;05/04/2014;4;5;16:32:02;16:55:15;2;16;1;1998;1;0;1;1;0;2;2;1;1;1;3;1;4;1;4;4;1;1;1;1;2;1;1;1;2;2;1;1
143;7,77;05/04/2014;4;5;16:37:25;16:58:11;2;50;5;1964;1;1;0;1;0;1;1;1;1;1;1;4;3;1;4;2;3;4;1;1;1;1;1;1;1;1;1;1
144;0,84;05/04/2014;4;5;16:39:44;17:03:18;2;45;4;1969;1;0;1;1;0;2;2;1;1;3;4;4;1;3;5;5;3;2;1;1;2;1;1;1;3;2;1;1
145;1,29;05/04/2014;4;5;16:50:47;17:06:43;2;15;1;1999;1;0;0;0;1;2;2;0;1;5;5;5;5;5;5;5;1;5;1;2;2;2;2;1;2;2;1;1
146;1,08;06/04/2014;4;6;14:08:09;14:32:12;2;15;1;1999;1;0;0;1;0;2;2;1;2;2;4;1;1;1;2;5;4;3;1;1;1;1;1;1;1;1;1;1
147;0,54;06/04/2014;4;6;14:05:37;14:32:57;1;44;4;1970;1;0;1;1;0;2;1;1;2;2;5;1;3;3;5;5;3;2;1;1;2;1;1;1;2;2;1;1
148;5,92;06/04/2014;4;6;14:06:59;14:33:17;1;27;3;1987;1;0;1;1;0;2;2;1;1;1;5;5;5;1;4;5;1;5;1;1;2;1;1;1;2;1;1;1
149;0,58;06/04/2014;4;6;14:15:31;14:40:01;1;37;4;1977;1;0;1;1;0;2;2;1;1;4;4;4;4;5;4;4;4;3;1;1;2;1;1;1;1;2;1;1
150;0,52;06/04/2014;4;6;14:27:45;14:48:53;2;30;3;1984;1;1;0;1;0;2;1;1;1;2;5;1;4;2;5;5;4;4;1;1;2;1;1;1;2;3;1;1
151;0,68;06/04/2014;4;6;14:33:00;14:53:02;2;16;1;1998;1;0;1;1;0;2;1;1;3;4;5;4;4;4;4;4;4;4;1;1;2;1;1;1;1;1;1;1
152;1,99;06/04/2014;4;6;14:38:51;14:57:17;2;27;3;1987;1;0;1;1;0;1;1;1;4;3;1;1;3;3;4;5;5;3;1;1;1;1;1;1;1;1;3;1
153;0,51;06/04/2014;4;6;14:38:47;14:58:59;1;47;4;1967;1;0;1;1;0;2;2;1;2;4;4;4;3;4;5;5;5;3;1;1;1;1;1;1;1;1;2;1
